Status,Declaration Name,File Path,Line Number,Last Modified,Age (Months),Age (Days),Last Commit
⚠️,"Coil3ImageRendererExtension","markdown/extensions/images/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/images/Coil3ImageRendererExtension.kt",15,2025-07-15,5,176,"6dafece15ce817f38328853e81c5a79969c5ffe9"
⚠️,"withDefaultLoader","markdown/extensions/images/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/images/Coil3ImageRendererExtension.kt",32,2025-07-15,5,176,"6dafece15ce817f38328853e81c5a79969c5ffe9"
⚠️,"withDefaultLoader","markdown/extensions/images/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/images/Coil3ImageRendererExtension.kt",47,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"GitHubAlertBlockRenderer","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertBlockRenderer.kt",34,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"GitHubAlertProcessorExtension","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertProcessorExtension.kt",30,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"GitHubAlert","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlert.kt",7,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"AlertStyling","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertStyling.kt",14,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"BaseAlertStyling","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertStyling.kt",70,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"NoteAlertStyling","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertStyling.kt",97,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"TipAlertStyling","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertStyling.kt",161,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"ImportantAlertStyling","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertStyling.kt",225,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"WarningAlertStyling","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertStyling.kt",289,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"CautionAlertStyling","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertStyling.kt",353,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"GitHubAlertRendererExtension","markdown/extensions/gfm-alerts/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/github/alerts/GitHubAlertRendererExtension.kt",10,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"AutolinkProcessorExtension","markdown/extensions/autolink/src/main/kotlin/org/jetbrains/jewel/markdown/extensions/autolink/AutolinkProcessorExtension.kt",9,2025-08-04,5,156,"312aff9759286cb44925b90a74beafbb83916aec"
⚠️,"Heading","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/styling/BridgeMarkdownStyling.kt",125,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/styling/BridgeMarkdownStyling.kt",143,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/styling/BridgeMarkdownStyling.kt",162,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/styling/BridgeMarkdownStyling.kt",181,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/styling/BridgeMarkdownStyling.kt",200,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/styling/BridgeMarkdownStyling.kt",219,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"ProvideMarkdownStyling","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/BridgeProvideMarkdownStyling.kt",29,2025-08-05,5,155,"9d24a4acc273a6a23fd72fbb740445d1c4af3539"
⚠️,"ProvideMarkdownStyling","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/BridgeProvideMarkdownStyling.kt",53,2025-07-22,5,169,"9705998eb92703bebc6bcd4ca9d0caf4734e6edf"
⚠️,"ProvideMarkdownStyling","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/BridgeProvideMarkdownStyling.kt",85,2025-07-22,5,169,"9705998eb92703bebc6bcd4ca9d0caf4734e6edf"
⚠️,"ProvideMarkdownStyling","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/BridgeProvideMarkdownStyling.kt",117,2025-07-22,5,169,"9705998eb92703bebc6bcd4ca9d0caf4734e6edf"
⚠️,"ProvideMarkdownStyling","markdown/ide-laf-bridge-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/bridge/BridgeProvideMarkdownStyling.kt",147,2025-07-22,5,169,"9705998eb92703bebc6bcd4ca9d0caf4734e6edf"
⚠️,"MarkdownBlockRenderer","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/IntUiMarkdownBlockRendererExtensions.kt",22,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"GfmTableStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/tables/IntUiGitHubTableStyling.kt",24,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"GfmTableColors","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/tables/IntUiGitHubTableStyling.kt",41,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"AlertStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/alerts/IntUiGitHubAlertStyling.kt",32,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"NoteAlertStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/alerts/IntUiGitHubAlertStyling.kt",67,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"TipAlertStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/alerts/IntUiGitHubAlertStyling.kt",117,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"ImportantAlertStyling","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/extensions/github/alerts/IntUiGitHubAlertStyling.kt",167,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
